"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2014","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.102"
"2014","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","61.700"
"2014","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","28.100"
"2014","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2014","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","126853195.000"
"2014","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.942"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","64.600"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.000"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","132215587.000"
"2013","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2012","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.841"
"2012","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","67.200"
"2012","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.600"
"2012","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2012","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","137207735.000"
"2012","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2011","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.845"
"2011","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","68.400"
"2011","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.600"
"2011","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.435"
"2011","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","138999738.000"
"2011","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.425"
"2010","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.726"
"2010","Alabama","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","71.500"
