GeoFips,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
00000,United States,1,Personal income (thousands of dollars),85126000,76371000,65507000,50134000,47085000,53939000,60698000,69057000,74545000,68923000,73452000,79171000,97400000,125259000,152627000,163267000,168178000,179844000,192660000,211661000,209182000,233008777,262559709,280539500,297489812,300685627,322573454,346606330,366539016,376690281,400673993,418095000,436553000,464248000,487847000,522796000,564631000,612945000,656851000,720704000,791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491506000,1646968000,1851867000,2068806000,2307005000,2584340000,2767657000,2957901000,3268535000,3501927000,3712243000,3940859000,4260753000,4603969000,4890453000,5055766000,5402109000,5639780000,5930316000,6275761000,6661697000,7075132000,7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14068960000,14801624000,15463981000
00000,United States,2,Population (persons) 1/,121769000,123075000,124038000,124839000,125580000,126372000,127251000,128054000,128822000,129825000,130884000,131955000,133417000,134670000,134697000,134075000,133387000,140638000,143665000,146091000,148666000,151871000,153970000,156369000,158946000,161881000,165058000,168078000,171178000,174153000,177136000,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309346863,311718857,314102623,316427395,318907401,321418820
00000,United States,3,Per capita personal income (dollars) 2/,699,621,528,402,375,427,477,539,579,531,561,600,730,930,1133,1218,1261,1279,1341,1449,1407,1534,1705,1794,1872,1857,1954,2062,2141,2163,2262,2323,2386,2499,2589,2736,2919,3135,3328,3616,3930,4196,4468,4853,5352,5824,6312,6856,7494,8338,9212,10153,11262,11947,12652,13860,14719,15459,16265,17426,18653,19591,19985,21060,21698,22538,23568,24728,25950,27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42453,44267,44462,46414,48112
01000,Alabama,1,Personal income (thousands of dollars),842894,697154,583342,421538,435290,555997,586701,682988,733375,673513,705148,799657,1100120,1568116,1950183,2106992,2213815,2218865,2383177,2624455,2519974,2818502,3286165,3497467,3657249,3533060,3999687,4291997,4562229,4758455,5002900,5216067,5387725,5656779,6009180,6520994,7078644,7591766,8015446,8753294,9726212,10605131,11670926,12964387,14582799,16175869,18038463,20228589,22281919,25197261,27992382,30864240,34263541,36197910,38771851,42649118,45942335,48627446,51486400,55388090,60312581,64070364,67662101,72847428,76199461,80680540,85362072,89084446,93822199,99767737,103105812,108000944,111693478,114176585,119399497,128541881,136187496,144954288,152246048,157727573,155513766,161256950,166595407,170881367,172789879,178976771,184784917
01000,Alabama,2,Population (persons) 1/,2644000,2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000,2845000,2902000,2950000,2887000,2799000,2770000,2906000,2944000,2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785161,4801108,4816089,4830533,4846411,4858979
01000,Alabama,3,Per capita personal income (dollars) 2/,319,263,220,159,164,207,216,249,266,242,251,281,379,532,676,753,799,764,810,884,840,922,1074,1140,1198,1172,1311,1398,1467,1504,1561,1593,1625,1702,1790,1921,2056,2192,2318,2540,2827,3074,3337,3662,4073,4459,4901,5413,5890,6572,7234,7913,8744,9222,9855,10792,11565,12183,12823,13765,14965,15820,16506,17537,18082,18938,19866,20569,21480,22650,23274,24258,25001,25485,26513,28371,29802,31315,32581,33430,32685,33699,34699,35481,35770,36930,38030
02000,Alaska*,1,Personal income (thousands of dollars),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),391941,538059,616278,651086,631065,642722,679219,672043,675477,703237,807217,796510,829551,898047,1005576,1084869,1153897,1257384,1357276,1565315,1787169,1969284,2148358,2483103,3011981,4117266,4843292,5026243,5175727,5470056,6204950,7057192,8610173,9368256,9961459,10772149,10868683,10430514,10875485,11938954,12650093,13199663,14093288,14837766,15326225,15739275,16166525,17047974,17836325,18429969,19875476,20981151,22013624,23077755,24255862,25928163,27582437,29744447,32853999,32731783,34711427,37151409,38490699,37916014,40229123,41460746
02000,Alaska*,2,Population (persons) 1/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),135000,158000,189000,205000,215000,222000,224000,231000,224000,224000,229000,238000,246000,256000,263000,271000,271000,278000,285000,296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714021,722720,731228,737442,737046,738432
02000,Alaska*,3,Per capita personal income (dollars) 2/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2903,3405,3261,3176,2935,2895,3032,2909,3016,3139,3525,3347,3372,3508,3823,4003,4258,4523,4762,5288,5873,6222,6580,7452,8738,11099,12320,12649,12869,13555,15309,16863,19150,19181,19391,20230,19969,19340,20066,21820,22863,23149,23938,24753,25404,26041,26565,27812,28771,29498,31651,33108,34271,35591,36791,38876,40845,43723,47791,46834,48614,51405,52638,51416,54582,56147
04000,Arizona,1,Personal income (thousands of dollars),257224,224623,184470,136925,131705,154799,180425,204813,228989,223233,237729,252551,319401,505119,690466,664885,679273,699313,781942,927803,951113,1056623,1309095,1489845,1581777,1639837,1799680,2028630,2220164,2358531,2599848,2833481,3086456,3322188,3493419,3746979,3977948,4336766,4719704,5413703,6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117552632,124514127,135372547,141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255731845,267361132
04000,Arizona,2,Population (persons) 1/,430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,492000,530000,661000,618000,591000,618000,652000,690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408208,6468732,6553262,6630799,6728783,6828065
04000,Arizona,3,Per capita personal income (dollars) 2/,598,518,430,321,309,362,416,462,505,479,491,506,649,953,1045,1076,1149,1132,1199,1345,1332,1398,1668,1769,1769,1758,1823,1927,1973,1977,2062,2145,2194,2258,2297,2408,2511,2687,2867,3219,3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24072,24785,26232,26766,27154,28166,29978,32288,34705,35751,35717,33746,33559,34912,36046,36524,38006,39156
05000,Arkansas,1,Personal income (thousands of dollars),560157,416278,381638,278409,283060,341705,386004,460151,481582,439122,479153,502002,676326,973768,1051339,1236417,1324089,1372264,1358169,1611219,1512797,1624744,1848530,1921979,1935830,1914544,2080765,2156658,2226162,2319693,2532765,2557904,2781764,2973098,3149260,3418008,3606460,4006747,4249157,4595196,5129597,5635770,6273038,7082421,8381299,9361505,10317199,11388677,12666674,14682928,16089892,17371177,19657239,20676166,21988073,24474975,26082631,27399821,28476005,30546100,32776869,34487482,36434402,39744696,41722523,44297617,47104707,50012919,52409055,55647128,57896065,61029036,64205009,65583321,69393101,73711023,77736622,82701324,88227922,92390681,90880167,92913782,99296630,106664517,106466207,111500761,113923539
05000,Arkansas,2,Population (persons) 1/,1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1966000,1983000,1839000,1771000,1758000,1805000,1835000,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922394,2938538,2949499,2957957,2966835,2978204
05000,Arkansas,3,Per capita personal income (dollars) 2/,302,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,883,820,852,972,1046,1088,1104,1206,1266,1285,1344,1442,1430,1540,1604,1680,1802,1904,2110,2235,2416,2681,2920,3181,3509,4072,4457,4780,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21189,21832,22784,23854,24237,25467,26807,27952,29308,30972,32141,31372,31794,33791,36164,35993,37582,38252
06000,California,1,Personal income (thousands of dollars),5494405,5078934,4387152,3440813,3276354,3665944,4108634,4924301,5233067,5190461,5364362,5949822,7522670,10347944,13704031,14967541,15588877,16607451,17104898,18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338,40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,957671894,1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1977923740,2103669473
06000,California,2,Population (persons) 1/,5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7269000,7814000,8623000,9261000,9619000,9727000,9912000,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37334079,37700034,38056055,38414128,38792291,39144818
06000,California,3,Per capita personal income (dollars) 2/,993,889,753,584,549,605,665,777,802,780,791,856,1035,1324,1589,1616,1621,1707,1726,1806,1790,1937,2156,2293,2335,2313,2468,2586,2672,2695,2834,2920,2979,3101,3204,3377,3521,3772,3988,4320,4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29031,30474,33095,33671,33901,35234,37551,39521,42334,43692,44162,42224,43315,45820,48312,48471,50988,53741
08000,Colorado,1,Personal income (thousands of dollars),635288,596454,498097,379940,378119,399173,479858,590209,589259,564357,581245,619492,735820,1038255,1228025,1221172,1349989,1473239,1696758,1865969,1897217,2078836,2471192,2666223,2693070,2773107,3018631,3331238,3656802,3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122141316,132118052,147226744,154592304,156288493,159102588,164456627,176129181,189492643,201743269,208608111,198082468,201569924,219860916,234005901,246648165,266534568,277731754
08000,Colorado,2,Population (persons) 1/,1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048254,5119480,5191731,5271132,5355588,5456574
08000,Colorado,3,Per capita personal income (dollars) 2/,630,574,472,356,353,371,445,541,534,508,519,548,655,916,1067,1086,1213,1232,1373,1477,1465,1569,1864,1953,1882,1857,1953,2050,2198,2246,2350,2432,2513,2573,2643,2748,2912,3099,3267,3514,3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29670,31263,34026,34931,34805,35132,35947,38025,40143,41996,42663,39838,39929,42946,45073,46792,49768,50899
09000,Connecticut,1,Personal income (thousands of dollars),1640024,1494293,1312590,1026232,969366,1090354,1190750,1361909,1458869,1311754,1436330,1589203,2029372,2587325,2911680,2921230,2837079,3060592,3390306,3504895,3414883,3862330,4437134,4850281,5259471,5362905,5778919,6315039,6733835,6527864,6974994,7266881,7693260,8218293,8675920,9318293,10018325,11007189,12063735,12816784,14693141,15678607,16511886,17800682,19365980,21132528,22706406,24501978,27001855,30063404,33793836,38457972,43173687,46616812,49858707,55856174,59950829,64560716,70594722,77854455,84525768,86968737,87599501,94263265,97514376,100067779,105446951,110588370,117944101,127447466,134862911,147686418,155411804,155702576,158426538,166799800,176139627,190614991,204296045,217101744,215234464,222404940,229211506,233710888,230614799,239829273,246709339
