"year" "name" "acpp" "cc" "fstprp" "fstpp" "gctr" "stpp" "pcpi" "pi" "pop" "gstpp" "cpi" "inflation_factor" "racpp" "rfstpp" "rgctr" "rstpp" "rpi" "rpcpi" "rgstpp"
"1" 1970 "Alabama" 0.427 89.8 46.8 0.2 36739131 0.12 3074 10605131 3449846 0.02 38.8 0.16389564747229 2.60531628865979 1.22028865979381 224161724.649897 0.732173195876289 64706605.4746392 18755.8367010309 0.122028865979381
"2" 1970 "Alaska" 0.418 121.3 38.3 0.16 2737000 0.08 5873 1787169 304328 0 38.8 0.16389564747229 2.55040329896907 0.976230927835052 16699650.3092784 0.488115463917526 10904310.3191753 35833.7764948454 0
"3" 1970 "Arizona" 0.385 115.2 46.7 0.18 19510371 0.1 4000 7180112 1794912 0.01 38.8 0.16389564747229 2.34905567010309 1.09825979381443 119041422.398351 0.610144329896907 43809046.2482474 24405.7731958763 0.0610144329896907
"4" 1970 "Arkansas" 0.388 100.3 53.5 0.208 24493875 0.123 2920 5635770 1930077 0 38.8 0.16389564747229 2.36736 1.26910020618557 149447989.484536 0.750477525773196 34386331.1010309 17816.2144329897 0
"5" 1970 "California" 0.397 123 45.3 0.18 239111000 0.1 4966 99440680 20023181 0.02 38.8 0.16389564747229 2.42227298969072 1.09825979381443 1458922208.65979 0.610144329896907 606731670.630928 30299.7674226804 0.122028865979381
"6" 1970 "Colorado" 0.311 124.8 41.8 0.13 13101000 0.05 4248 9447721 2223979 0 38.8 0.16389564747229 1.89754886597938 0.793187628865979 79935008.6597938 0.305072164948454 57644733.9859794 25918.9311340206 0
"7" 1970 "Connecticut" 0.455 120 52.7 0.24 57913000 0.16 5160 15678607 3038782 0 38.8 0.16389564747229 2.77615670103093 1.46434639175258 353352885.773196 0.976230927835052 95662131.6173196 31483.4474226804 0
"8" 1970 "Delaware" 0.413 155 46 0.19 9328000 0.11 4736 2606227 550332 0 38.8 0.16389564747229 2.51989608247423 1.15927422680412 56914263.0927835 0.671158762886598 15901746.2647423 28896.4354639175 0
"9" 1970 "District of Columbia" 0.326 200.4 36.8 0.12 5801000 0.04 5469 4129474 755087 0.02 38.8 0.16389564747229 1.98907051546392 0.732173195876289 35394472.5773196 0.244057731958763 25195751.465567 33368.7934020619 0.122028865979381
"10" 1970 "Florida" 0.438 123.6 52.5 0.23 117819000 0.15 4160 28474028 6845353 0.02 38.8 0.16389564747229 2.67243216494845 1.40333195876289 718865948.041237 0.915216494845361 173732667.335258 25382.0041237113 0.122028865979381
