"state","year","gstpp"
"Alabama",1970,2
"Alabama",1971,2
"Alabama",1972,1
"Alabama",1973,2
"Alabama",1974,2
"Alabama",1975,2
"Alabama",1976,2
"Alabama",1977,2
"Alabama",1978,2
"Alabama",1979,2
"Alabama",1980,2
"Alabama",1981,2
"Alabama",1982,3
"Alabama",1983,3
"Alabama",1984,3
"Alabama",1985,3
"Alabama",1986,4
"Alabama",1987,4
"Alabama",1988,5
"Alabama",1989,5
"Alabama",1990,7
"Alabama",1991,7
"Alabama",1992,7
"Alabama",1993,6
"Alabama",1994,6
"Alabama",1995,6
"Alabama",1996,7
"Alabama",1997,8
"Alabama",1998,8
"Alabama",1999,11
"Alabama",2000,12
"Alabama",2001,13
"Alabama",2002,13
"Alabama",2003,13
"Alabama",2004,14
"Alabama",2005,14
"Alabama",2006,14
"Alabama",2007,15
"Alabama",2008,15
"Alabama",2009,18
"Alabama",2010,19
"Alabama",2011,19
"Alabama",2012,19
"Alabama",2013,20
"Alabama",2014,20
"Alaska",1970,0
"Alaska",1971,0
"Alaska",1972,0
"Alaska",1973,0
"Alaska",1974,0
"Alaska",1975,0
"Alaska",1976,0
"Alaska",1977,0
"Alaska",1978,0
"Alaska",1979,0
"Alaska",1980,0
"Alaska",1981,0
"Alaska",1982,0
"Alaska",1983,0
"Alaska",1984,0
"Alaska",1985,0
"Alaska",1986,0
"Alaska",1987,0
"Alaska",1988,0
"Alaska",1989,0
"Alaska",1990,0
"Alaska",1991,0
"Alaska",1992,0
"Alaska",1993,0
"Alaska",1994,0
"Alaska",1995,0
"Alaska",1996,0
"Alaska",1997,0
"Alaska",1998,0
"Alaska",1999,0
"Alaska",2000,0
"Alaska",2001,0
"Alaska",2002,0
"Alaska",2003,0
"Alaska",2004,0
"Alaska",2005,0
"Alaska",2006,0
"Alaska",2007,0
"Alaska",2008,0
"Alaska",2009,0
"Alaska",2010,0
"Alaska",2011,0
"Alaska",2012,0
"Alaska",2013,0
"Alaska",2014,0
"Arizona",1970,1
"Arizona",1971,1
"Arizona",1972,1
"Arizona",1973,1
"Arizona",1974,2
"Arizona",1975,2
"Arizona",1976,2
"Arizona",1977,2
"Arizona",1978,2
"Arizona",1979,2
"Arizona",1980,3
"Arizona",1981,3
"Arizona",1982,3
"Arizona",1983,4
"Arizona",1984,5
"Arizona",1985,5
"Arizona",1986,6
"Arizona",1987,6
"Arizona",1988,7
"Arizona",1989,7
"Arizona",1990,7
"Arizona",1991,8
"Arizona",1992,9
"Arizona",1993,8
"Arizona",1994,8
"Arizona",1995,10
"Arizona",1996,11
"Arizona",1997,11
"Arizona",1998,13
"Arizona",1999,16
"Arizona",2000,17
"Arizona",2001,18
"Arizona",2002,19
"Arizona",2003,22
"Arizona",2004,22
"Arizona",2005,23
"Arizona",2006,24
"Arizona",2007,29.1
"Arizona",2008,31
"Arizona",2009,35
"Arizona",2010,42
"Arizona",2011,43
"Arizona",2012,43
"Arizona",2013,37
"Arizona",2014,37
"Arkansas",1970,0
"Arkansas",1971,0
"Arkansas",1972,0
"Arkansas",1973,0
"Arkansas",1974,0
"Arkansas",1975,0
"Arkansas",1976,0
"Arkansas",1977,0
"Arkansas",1978,0
"Arkansas",1979,0
"Arkansas",1980,0
"Arkansas",1981,0
"Arkansas",1982,0
"Arkansas",1983,0
"Arkansas",1984,0
"Arkansas",1985,0
"Arkansas",1986,0
"Arkansas",1987,5
"Arkansas",1988,5
"Arkansas",1989,5
"Arkansas",1990,7
"Arkansas",1991,8
"Arkansas",1992,9
"Arkansas",1993,9
"Arkansas",1994,8
"Arkansas",1995,8
"Arkansas",1996,8
"Arkansas",1997,9
"Arkansas",1998,10
"Arkansas",1999,13
"Arkansas",2000,13
"Arkansas",2001,14
"Arkansas",2002,16
"Arkansas",2003,16
"Arkansas",2004,18
"Arkansas",2005,21
"Arkansas",2006,22
"Arkansas",2007,22
"Arkansas",2008,24
"Arkansas",2009,32
"Arkansas",2010,33
"Arkansas",2011,33
"Arkansas",2012,33
"Arkansas",2013,33
"Arkansas",2014,36
"California",1970,2
"California",1971,2
"California",1972,2
"California",1973,2
"California",1974,3
"California",1975,3
"California",1976,3
"California",1977,4
"California",1978,4
"California",1979,4
"California",1980,4
"California",1981,5
"California",1982,5
"California",1983,5
"California",1984,6
"California",1985,6
"California",1986,7
"California",1987,8
"California",1988,8
"California",1989,10
"California",1990,11
"California",1991,14
